Symbol,Company Name,Return on Equity (TTM),Rev. Growth Rate (last 3 Yrs),Market Capitalization,EPS Growth Rate (last 3 Yrs),2012-04-23 CAPS Rating,
MRX,Medicis Pharmaceuticals Corporation,10.5,12.70,2238794905,112.37,3
MELI,"Mercadolibre, Inc.",35.0,29.26,3911865812,61.18,3
PCS,MetroPCS Communications Inc,10.3,20.38,2881978473,23.42,4
MCHP,"Microchip Technology, Inc.",19.7,17.10,6664463921,14.03,4
MIDD,Middleby Corporation,18.7,9.67,1778251543,12.07,3
MR,Mindray Medical International Limited,14.8,16.54,3723496743,13.02,3
MNRO,"Monro Muffler/Brake, Inc.",16.3,11.52,1262124683,25.82,3
MSM,"MSC Industrial Direct Co., Inc.",21.8,9.73,3608491722,15.40,5
MSCI,"MSCI, Inc.",13.3,29.89,4268141473,25.17,3
MWIV,"MWI Veterinary Supply, Inc.",14.4,21.94,1133975697,24.45,4
NHI,"National Health Investors, Inc.",18.3,12.64,1321848243,11.70,4
NATI,National Instruments Corporation,11.0,9.64,3122235504,23.42,5
NETC,Net Communications Services Inc.,11.0,21.07,4681444950,78.71,4
NTES,NetEase Inc,18.9,38.27,7631345951,29.41,4
NTGR,"Netgear, Inc.",14.3,18.08,1259603824,87.98,5
NEU,NewMarket Corporation,37.6,10.67,2556033175,43.25,4
OKS,"ONEOK Partners, L.P.",24.1,15.51,7289700165,10.42,5
OTEX,Open Text Corporation,13.0,12.05,3212182815,31.49,3
PAAS,Pan American Silver Corporation,22.1,36.46,2848599097,113.31,4
PNRA,"Panera Bread Company, Inc.",20.8,12.14,4228085667,27.34,4
PRGO,Perrigo Company,21.2,12.12,9778196425,35.79,3
PII,"Polaris Industries, Inc.",45.5,15.18,5384217190,27.40,4
PLCM,"Polycom, Inc.",9.9,14.27,2256896250,24.88,3
PRAA,"Portfolio Recovery Associates, Inc.",16.9,21.51,1142097933,27.76,5
PSMT,"Pricesmart, Inc.",16.6,13.53,2452540132,11.71,4
QSII,"Quality Systems, Inc.",28.0,18.22,2250904043,16.22,4
QCOR,"Questcor Pharmaceuticals, Inc.",36.2,31.67,2644670914,35.15,3
RAX,"Rackspace Hosting, Inc.",12.7,24.41,7407462190,42.85,3
RAVN,"Raven Industries, Inc.",28.0,12.85,1035602903,19.89,4
RGA,Reinsurance Group of America Inc,9.8,15.94,4153652210,43.44,5
RMD,ResMed Inc.,14.4,12.07,4393315609,18.98,4
SNI,Scripps Networks Interactive Inc,34.3,11.48,5917502607,144.44,3
SEB,Seaboard Corporation,16.6,11.51,2285449758,45.77,4
SMTC,Semtech Corporation,14.1,21.26,1705808092,88.54,5
GAME,Shanda Games Limited,37.8,16.82,1425987820,9.98,3
SWKS,"Skyworks Solutions, Inc.",13.4,19.78,4417630711,22.55,5
SWI,"SolarWinds, Inc.",23.6,28.88,2730380970,32.13,3
SHOO,Steven Madden,20.5,28.96,1886723132,49.42,4
RGR,"Sturm, Ruger & Company",29.1,18.80,1022967414,61.14,4
SXCI,SXC Health Solutions Corporation,13.7,74.35,5839811861,59.80,4
SNX,Synnex Corporation,13.1,10.27,1349486581,16.80,5
TCBI,"Texas Capital Bancshares, Inc.",12.3,9.76,1270171047,35.15,3
